0.500, 0.000, 0.000, 1.000, 0.000, 0.000
0.499, 0.031, 0.000, 1.000, 0.000, 0.000
0.496, 0.063, 0.000, 1.000, 0.000, 0.000
0.491, 0.094, 0.000, 1.000, 0.000, 0.000
0.484, 0.124, 0.000, 1.000, 0.000, 0.000
0.476, 0.155, 0.001, 1.000, 0.000, 0.000
0.465, 0.184, 0.001, 1.000, 0.000, 0.000
0.452, 0.213, 0.001, 1.000, 0.000, 0.000
0.438, 0.241, 0.001, 1.000, 0.000, 0.000
0.422, 0.268, 0.001, 1.000, 0.000, 0.000
0.405, 0.294, 0.001, 1.000, 0.000, 0.000
0.385, 0.319, 0.001, 1.000, 0.000, 0.000
0.364, 0.342, 0.001, 1.000, 0.000, 0.000
0.342, 0.364, 0.001, 1.000, 0.000, 0.000
0.319, 0.385, 0.001, 1.000, 0.000, 0.000
0.294, 0.405, 0.002, 1.000, 0.000, 0.000
0.268, 0.422, 0.002, 1.000, 0.000, 0.000
0.241, 0.438, 0.002, 1.000, 0.000, 0.000
0.213, 0.452, 0.002, 1.000, 0.000, 0.000
0.184, 0.465, 0.002, 1.000, 0.000, 0.000
0.155, 0.476, 0.002, 1.000, 0.000, 0.000
0.124, 0.484, 0.002, 1.000, 0.000, 0.000
0.094, 0.491, 0.002, 1.000, 0.000, 0.000
0.063, 0.496, 0.002, 1.000, 0.000, 0.000
0.031, 0.499, 0.002, 1.000, 0.000, 0.000
0.000, 0.500, 0.003, 1.000, 0.000, 0.000
-0.031, 0.499, 0.003, 1.000, 0.000, 0.000
-0.063, 0.496, 0.003, 1.000, 0.000, 0.000
-0.094, 0.491, 0.003, 1.000, 0.000, 0.000
-0.124, 0.484, 0.003, 1.000, 0.000, 0.000
-0.155, 0.476, 0.003, 1.000, 0.000, 0.000
-0.184, 0.465, 0.003, 1.000, 0.000, 0.000
-0.213, 0.452, 0.003, 1.000, 0.000, 0.000
-0.241, 0.438, 0.003, 1.000, 0.000, 0.000
-0.268, 0.422, 0.003, 1.000, 0.000, 0.000
-0.294, 0.405, 0.004, 1.000, 0.000, 0.000
-0.319, 0.385, 0.004, 1.000, 0.000, 0.000
-0.342, 0.364, 0.004, 1.000, 0.000, 0.000
-0.364, 0.342, 0.004, 1.000, 0.000, 0.000
-0.385, 0.319, 0.004, 1.000, 0.000, 0.000
-0.405, 0.294, 0.004, 1.000, 0.000, 0.000
-0.422, 0.268, 0.004, 1.000, 0.000, 0.000
-0.438, 0.241, 0.004, 1.000, 0.000, 0.000
-0.452, 0.213, 0.004, 1.000, 0.000, 0.000
-0.465, 0.184, 0.004, 1.000, 0.000, 0.000
-0.476, 0.155, 0.005, 1.000, 0.000, 0.000
-0.484, 0.124, 0.005, 1.000, 0.000, 0.000
-0.491, 0.094, 0.005, 1.000, 0.000, 0.000
-0.496, 0.063, 0.005, 1.000, 0.000, 0.000
-0.499, 0.031, 0.005, 1.000, 0.000, 0.000
-0.500, 0.000, 0.005, 1.000, 0.000, 0.000
-0.499, -0.031, 0.005, 1.000, 0.000, 0.000
-0.496, -0.063, 0.005, 1.000, 0.000, 0.000
-0.491, -0.094, 0.005, 1.000, 0.000, 0.000
-0.484, -0.124, 0.005, 1.000, 0.000, 0.000
-0.476, -0.155, 0.006, 1.000, 0.000, 0.000
-0.465, -0.184, 0.006, 1.000, 0.000, 0.000
-0.452, -0.213, 0.006, 1.000, 0.000, 0.000
-0.438, -0.241, 0.006, 1.000, 0.000, 0.000
-0.422, -0.268, 0.006, 1.000, 0.000, 0.000
-0.405, -0.294, 0.006, 1.000, 0.000, 0.000
-0.385, -0.319, 0.006, 1.000, 0.000, 0.000
-0.364, -0.342, 0.006, 1.000, 0.000, 0.000
-0.342, -0.364, 0.006, 1.000, 0.000, 0.000
-0.319, -0.385, 0.006, 1.000, 0.000, 0.000
-0.294, -0.405, 0.007, 1.000, 0.000, 0.000
-0.268, -0.422, 0.007, 1.000, 0.000, 0.000
-0.241, -0.438, 0.007, 1.000, 0.000, 0.000
-0.213, -0.452, 0.007, 1.000, 0.000, 0.000
-0.184, -0.465, 0.007, 1.000, 0.000, 0.000
-0.155, -0.476, 0.007, 1.000, 0.000, 0.000
-0.124, -0.484, 0.007, 1.000, 0.000, 0.000
-0.094, -0.491, 0.007, 1.000, 0.000, 0.000
-0.063, -0.496, 0.007, 1.000, 0.000, 0.000
-0.031, -0.499, 0.007, 1.000, 0.000, 0.000
-0.000, -0.500, 0.007, 1.000, 0.000, 0.000
0.031, -0.499, 0.008, 1.000, 0.000, 0.000
0.063, -0.496, 0.008, 1.000, 0.000, 0.000
0.094, -0.491, 0.008, 1.000, 0.000, 0.000
0.124, -0.484, 0.008, 1.000, 0.000, 0.000
0.155, -0.476, 0.008, 1.000, 0.000, 0.000
0.184, -0.465, 0.008, 1.000, 0.000, 0.000
0.213, -0.452, 0.008, 1.000, 0.000, 0.000
0.241, -0.438, 0.008, 1.000, 0.000, 0.000
0.268, -0.422, 0.008, 1.000, 0.000, 0.000
0.294, -0.405, 0.009, 1.000, 0.000, 0.000
0.319, -0.385, 0.009, 1.000, 0.000, 0.000
0.342, -0.364, 0.009, 1.000, 0.000, 0.000
0.364, -0.342, 0.009, 1.000, 0.000, 0.000
0.385, -0.319, 0.009, 1.000, 0.000, 0.000
0.405, -0.294, 0.009, 1.000, 0.000, 0.000
0.422, -0.268, 0.009, 1.000, 0.000, 0.000
0.438, -0.241, 0.009, 1.000, 0.000, 0.000
0.452, -0.213, 0.009, 1.000, 0.000, 0.000
0.465, -0.184, 0.009, 1.000, 0.000, 0.000
0.476, -0.155, 0.010, 1.000, 0.000, 0.000
0.484, -0.124, 0.010, 1.000, 0.000, 0.000
0.491, -0.094, 0.010, 1.000, 0.000, 0.000
0.496, -0.063, 0.010, 1.000, 0.000, 0.000
0.499, -0.031, 0.010, 1.000, 0.000, 0.000
0.500, -0.000, 0.010, 1.000, 0.000, 0.000
0.499, 0.031, 0.010, 1.000, 0.000, 0.000
0.496, 0.063, 0.010, 1.000, 0.000, 0.000
0.491, 0.094, 0.010, 1.000, 0.000, 0.000
0.484, 0.124, 0.010, 1.000, 0.000, 0.000
0.476, 0.155, 0.011, 1.000, 0.000, 0.000
0.465, 0.184, 0.011, 1.000, 0.000, 0.000
0.452, 0.213, 0.011, 1.000, 0.000, 0.000
0.438, 0.241, 0.011, 1.000, 0.000, 0.000
0.422, 0.268, 0.011, 1.000, 0.000, 0.000
0.405, 0.294, 0.011, 1.000, 0.000, 0.000
0.385, 0.319, 0.011, 1.000, 0.000, 0.000
0.364, 0.342, 0.011, 1.000, 0.000, 0.000
0.342, 0.364, 0.011, 1.000, 0.000, 0.000
0.319, 0.385, 0.011, 1.000, 0.000, 0.000
0.294, 0.405, 0.012, 1.000, 0.000, 0.000
0.268, 0.422, 0.012, 1.000, 0.000, 0.000
0.241, 0.438, 0.012, 1.000, 0.000, 0.000
0.213, 0.452, 0.012, 1.000, 0.000, 0.000
0.184, 0.465, 0.012, 1.000, 0.000, 0.000
0.155, 0.476, 0.012, 1.000, 0.000, 0.000
0.124, 0.484, 0.012, 1.000, 0.000, 0.000
0.094, 0.491, 0.012, 1.000, 0.000, 0.000
0.063, 0.496, 0.012, 1.000, 0.000, 0.000
0.031, 0.499, 0.012, 1.000, 0.000, 0.000
0.000, 0.500, 0.013, 1.000, 0.000, 0.000
-0.031, 0.499, 0.013, 1.000, 0.000, 0.000
-0.063, 0.496, 0.013, 1.000, 0.000, 0.000
-0.094, 0.491, 0.013, 1.000, 0.000, 0.000
-0.124, 0.484, 0.013, 1.000, 0.000, 0.000
-0.155, 0.476, 0.013, 1.000, 0.000, 0.000
-0.184, 0.465, 0.013, 1.000, 0.000, 0.000
-0.213, 0.452, 0.013, 1.000, 0.000, 0.000
-0.241, 0.438, 0.013, 1.000, 0.000, 0.000
-0.268, 0.422, 0.013, 1.000, 0.000, 0.000
-0.294, 0.405, 0.014, 1.000, 0.000, 0.000
-0.319, 0.385, 0.014, 1.000, 0.000, 0.000
-0.342, 0.364, 0.014, 1.000, 0.000, 0.000
-0.364, 0.342, 0.014, 1.000, 0.000, 0.000
-0.385, 0.319, 0.014, 1.000, 0.000, 0.000
-0.405, 0.294, 0.014, 1.000, 0.000, 0.000
-0.422, 0.268, 0.014, 1.000, 0.000, 0.000
-0.438, 0.241, 0.014, 1.000, 0.000, 0.000
-0.452, 0.213, 0.014, 1.000, 0.000, 0.000
-0.465, 0.184, 0.014, 1.000, 0.000, 0.000
